sku_id,period,qty_total,category_id
598294111,2025-06-23,4.837052256334573e-05,672241
598294111,2025-06-30,4.837052256334573e-05,672241
598294111,2025-07-07,4.837052256334573e-05,672241
598294111,2025-07-14,4.837052256334573e-05,672241
598302302,2025-06-23,1.5846577298361808e-05,672241
598302302,2025-06-30,1.5846577298361808e-05,672241
598302302,2025-07-07,1.5846577298361808e-05,672241
598302302,2025-07-14,1.5846577298361808e-05,672241
599653937,2025-06-23,0.000741196796298027,672241
599653937,2025-06-30,0.0,672241
599653937,2025-07-07,0.000741196796298027,672241
599653937,2025-07-14,0.000741196796298027,672241
599703217,2025-06-23,0.002229097066447139,672241
599703217,2025-06-30,0.018361710011959076,672241
599703217,2025-07-07,0.004189880099147558,672241
599703217,2025-07-14,0.058197908103466034,672241
746436995,2025-06-23,3.500978709780611e-05,672241
746436995,2025-06-30,3.500978709780611e-05,672241
746436995,2025-07-07,3.500978709780611e-05,672241
746436995,2025-07-14,3.500978709780611e-05,672241
2709580011,2025-06-23,4.5049175241729245e-05,672241
2709580011,2025-06-30,4.5049175241729245e-05,672241
2709580011,2025-07-07,5.7486467994749546e-05,672241
2709580011,2025-07-14,5.7486467994749546e-05,672241
2709580215,2025-06-23,2.9896349587943405e-05,672241
2709580215,2025-06-30,2.9896349587943405e-05,672241
2709580215,2025-07-07,2.9896349587943405e-05,672241
2709580215,2025-07-14,2.9896349587943405e-05,672241
2787887686,2025-06-23,3.879925498040393e-05,672241
2787887686,2025-06-30,3.879925498040393e-05,672241
2787887686,2025-07-07,3.879925498040393e-05,672241
2787887686,2025-07-14,3.879925498040393e-05,672241
3022776581,2025-06-23,3.606131940614432e-05,672241
3022776581,2025-06-30,3.606131940614432e-05,672241
3022776581,2025-07-07,3.606131940614432e-05,672241
3022776581,2025-07-14,3.606131940614432e-05,672241
3022776731,2025-06-23,2.949823101516813e-05,672241
3022776731,2025-06-30,2.949823101516813e-05,672241
3022776731,2025-07-07,2.949823101516813e-05,672241
3022776731,2025-07-14,2.949823101516813e-05,672241
3238598023,2025-06-23,2.9498931326088496e-05,672241
3238598023,2025-06-30,2.9498931326088496e-05,672241
3238598023,2025-07-07,2.9498931326088496e-05,672241
3238598023,2025-07-14,2.9498931326088496e-05,672241
3252722291,2025-06-23,2.6776595404953696e-05,672241
3252722291,2025-06-30,2.6776595404953696e-05,672241
3252722291,2025-07-07,2.6776595404953696e-05,672241
3252722291,2025-07-14,2.6776595404953696e-05,672241
3576081009,2025-06-23,1.5774408893776126e-05,672241
3576081009,2025-06-30,1.5774408893776126e-05,672241
3576081009,2025-07-07,1.5774408893776126e-05,672241
3576081009,2025-07-14,1.5774408893776126e-05,672241
3577564803,2025-06-23,0.00014553854998666793,672241
3577564803,2025-06-30,8.419613732257858e-05,672241
3577564803,2025-07-07,0.0004487748665269464,672241
3577564803,2025-07-14,8.754614100325853e-05,672241
3691275758,2025-06-23,2.5878078304231167e-05,672241
3691275758,2025-06-30,2.5878078304231167e-05,672241
3691275758,2025-07-07,2.5878078304231167e-05,672241
3691275758,2025-07-14,2.5878078304231167e-05,672241
3692477582,2025-06-23,1.4473405826720409e-05,672241
3692477582,2025-06-30,1.4473405826720409e-05,672241
3692477582,2025-07-07,1.4473405826720409e-05,672241
3692477582,2025-07-14,1.4473405826720409e-05,672241
3693412504,2025-06-23,0.0,672241
3693412504,2025-06-30,0.0,672241
3693412504,2025-07-07,0.0,672241
3693412504,2025-07-14,0.0,672241
3867746102,2025-06-23,2.53401740337722e-05,672241
3867746102,2025-06-30,2.53401740337722e-05,672241
3867746102,2025-07-07,2.53401740337722e-05,672241
3867746102,2025-07-14,2.53401740337722e-05,672241
3880204628,2025-06-23,1.6662428606650792e-05,672241
3880204628,2025-06-30,1.6662428606650792e-05,672241
3880204628,2025-07-07,1.6662428606650792e-05,672241
3880204628,2025-07-14,1.6662428606650792e-05,672241
3926767355,2025-06-23,2.1273996026138775e-05,672241
3926767355,2025-06-30,2.1273996026138775e-05,672241
3926767355,2025-07-07,2.1273996026138775e-05,672241
3926767355,2025-07-14,2.1273996026138775e-05,672241
4079053893,2025-06-23,3.544981518643908e-05,672241
4079053893,2025-06-30,3.544981518643908e-05,672241
4079053893,2025-07-07,3.544981518643908e-05,672241
4079053893,2025-07-14,3.544981518643908e-05,672241
4166277217,2025-06-23,3.363202995387837e-05,672241
4166277217,2025-06-30,3.363202995387837e-05,672241
4166277217,2025-07-07,3.363202995387837e-05,672241
4166277217,2025-07-14,3.363202995387837e-05,672241
4203509252,2025-06-23,3.642285810201429e-05,672241
4203509252,2025-06-30,3.642285810201429e-05,672241
4203509252,2025-07-07,3.642285810201429e-05,672241
4203509252,2025-07-14,3.642285810201429e-05,672241
4233243369,2025-06-23,2.5254306819988415e-05,672241
4233243369,2025-06-30,2.5254306819988415e-05,672241
4233243369,2025-07-07,2.5254306819988415e-05,672241
4233243369,2025-07-14,2.5254306819988415e-05,672241
4244979510,2025-06-23,2.297931678185705e-05,672241
4244979510,2025-06-30,2.297931678185705e-05,672241
4244979510,2025-07-07,2.297931678185705e-05,672241
4244979510,2025-07-14,2.297931678185705e-05,672241
4293110694,2025-06-23,9.074735316971783e-06,672241
4293110694,2025-06-30,9.074735316971783e-06,672241
4293110694,2025-07-07,9.074735316971783e-06,672241
